Date,Open,High,Low,Close,Volume,Ticker
2025-07-01,206.04299395149746,209.55231908550664,205.51460310500556,207.18951416015625,78788900,AAPL
2025-07-02,208.2761972389462,212.69274987948137,207.5085290616707,211.7954864501953,67941800,AAPL
2025-07-03,211.50635319299207,213.99876845669687,211.16738836812712,212.90211486816406,34955800,AAPL
2025-07-07,212.03476276559877,215.57399579559095,208.16654427869605,209.31304931640625,50229000,AAPL
2025-07-08,209.46258702266434,210.78853856973336,207.81758380403343,209.3728485107422,42848900,AAPL
2025-07-09,208.8943192909964,210.6888614301138,206.59132988433592,210.4994354248047,48749400,AAPL
2025-07-10,209.87133445003573,212.83232507172787,209.39279496736208,211.7655792236328,44443600,AAPL
2025-07-11,209.931172276849,211.48643705736623,209.2233196075129,210.51937866210938,39765800,AAPL
2025-07-14,209.29308368901172,210.27012140888866,206.9103353456299,207.987060546875,38840100,AAPL
2025-07-15,208.5852528191871,211.24715053377864,208.28615994072268,208.4755859375,42296300,AAPL
2025-07-16,209.6619745482938,211.75559423754484,208.00700716596054,209.52239990234375,47490500,AAPL
2025-07-17,209.93116216460888,211.15742622671814,208.95412441878605,209.38282775878906,48068100,AAPL
2025-07-18,210.23024956462245,211.1474566075158,209.06380098140497,210.539306640625,48974600,AAPL
2025-07-21,211.45652088357517,215.12534891613055,210.98794558852114,211.83535766601562,51377400,AAPL
2025-07-22,212.49335516085276,214.29786137817433,211.58611235366487,213.74952697753906,46404100,AAPL
2025-07-23,214.3477172095632,214.4972560435483,211.76557859278188,213.5002899169922,46989300,AAPL
2025-07-24,213.25105536667797,215.03563331063384,212.8821827557749,213.11148071289062,46022600,AAPL
2025-07-25,214.0486138925591,214.58698409364732,212.75255494872997,213.23110961914062,40268800,AAPL
2025-07-28,213.38067592321022,214.1981955143971,212.41361748607306,213.40061950683594,37858000,AAPL
2025-07-29,213.53020352524888,214.1582970701604,210.18041185237743,210.62904357910156,51411700,AAPL
2025-07-30,211.2571312800854,211.74565019362484,207.08981987426867,208.41578674316406,45512500,AAPL
2025-07-31,207.85746883247032,209.2033639475293,206.5315020865265,206.9402618408203,80698400,AAPL
2025-08-01,210.23023901853355,212.93202387361222,200.88867142379772,201.76600646972656,104434500,AAPL
2025-08-04,203.8895472057539,207.24933356384108,201.06813110178,202.7330780029297,75109300,AAPL
2025-08-05,202.78290655256814,204.71702329589334,201.54667827641916,202.3043670654297,44155100,AAPL
2025-08-06,205.00615029681612,214.72657006985978,204.96626313259566,212.60302734375,108483100,AAPL
2025-08-07,218.2159523061407,220.1799768073744,215.92292715514498,219.36245727539062,90224800,AAPL
2025-08-08,220.16001960779298,230.29916273925562,218.58481138779996,228.6541748046875,113854000,AAPL
2025-08-11,227.48640043221798,229.12327986736793,224.3324083989562,226.747802734375,61806100,AAPL
2025-08-12,227.57622481823222,230.36092560837628,226.63802588155738,229.21310424804688,55626200,AAPL
2025-08-13,230.6304284784954,234.55294488479396,229.99163136972763,232.88612365722656,69878500,AAPL
2025-08-14,233.6147219132583,234.67270293292236,230.41083714463488,232.337158203125,51916300,AAPL
2025-08-15,233.5548328767578,233.834298979768,228.9036945156081,231.1494140625,56038700,AAPL
2025-08-18,231.25921652669462,232.67651332576617,229.672244959047,230.4507598876953,37476200,AAPL
2025-08-19,230.84001516813981,232.42698672077375,228.9136940815642,230.1213836669922,39402600,AAPL
2025-08-20,229.54248102593337,230.0315543310328,225.3404986724704,225.5800323486328,42263900,AAPL
2025-08-21,225.83955683035407,226.08908123987146,223.35428822884654,224.47215270996094,30621200,AAPL
2025-08-22,225.73973438952316,228.65417758009713,224.98118568943215,227.3267059326172,42477800,AAPL
2025-08-25,226.04912998143794,228.86377239669042,225.79960559269966,226.72784423828125,30983100,AAPL
2025-08-26,226.43840339540802,229.0534295301293,224.26255788237486,228.87376403808594,54575100,AAPL
2025-08-27,228.17510050695543,230.46073738560713,227.82576024347395,230.05152893066406,31259500,AAPL
2025-08-28,230.3809040856524,232.9659733126178,228.90370861616245,232.11758422851562,38074700,AAPL
2025-08-29,232.0676707602769,232.9360260407387,230.92984008944924,231.69837951660156,39418400,AAPL
2025-09-02,228.81388239599917,230.4108447009183,226.53822101083426,229.28298950195312,44075600,AAPL
2025-09-03,236.75874463665696,238.395624134605,233.9141603097862,238.01634216308594,66427800,AAPL
2025-09-04,237.99636566705198,239.44360411673358,236.28962732845326,239.32383728027344,47549400,AAPL
2025-09-05,239.54341659874092,240.86091270031892,238.03629475202086,239.2340087890625,54870400,AAPL
2025-09-08,238.84475646782593,239.69313028194867,235.89038089866295,237.42745971679688,48999500,AAPL
2025-09-09,236.54912730927947,238.3257397896772,232.9160527142261,233.9041748046875,66313900,AAPL
2025-09-10,231.7482872752143,231.97784546194652,225.52015268533836,226.35855102539062,83440800,AAPL
2025-09-11,226.44839058875493,230.01159113632517,226.21881717306923,229.59239196777344,50208600,AAPL
2025-09-12,228.78393068206054,234.06386022938602,228.58431421011397,233.6247100830078,55824200,AAPL
2025-09-15,236.54912714503797,237.7368657054393,234.58287368836292,236.24969482421875,42699500,AAPL
2025-09-16,236.72878926810645,240.76111223381088,235.87043992435724,237.6969451904297,63421100,AAPL
2025-09-17,238.5153883976145,239.6432435766681,237.27774187166392,238.5353546142578,46508000,AAPL
2025-09-18,239.5134800259323,240.74113579799257,236.199788714976,237.42745971679688,44249600,AAPL
2025-09-19,240.77107799962133,245.83144010441063,239.7530294205925,245.032958984375,163741300,AAPL
2025-09-22,247.82763635806887,256.15178189089505,247.64797087114997,255.5928192138672,105517400,AAPL
2025-09-23,255.39322235208516,256.8504363399061,253.0975947938589,253.9459686279297,60275200,AAPL
2025-09-24,254.73446948849343,255.2534845023776,250.56241362070242,251.8300018310547,42303700,AAPL
2025-09-25,252.72829161839874,256.6807646844572,251.2311452680336,256.3813171386719,55202100,AAPL
2025-09-26,253.61660096533106,257.10994249251326,253.2972024297037,254.97401428222656,46076300,AAPL
2025-09-29,254.0757261912774,254.5148915782133,252.52867184357527,253.9459686279297,40127700,AAPL
2025-09-30,254.37515755125318,255.4331385813304,252.6284867333586,254.14559936523438,37704300,AAPL
2025-10-01,254.55481135314994,258.29769267334166,254.44502000530687,254.9640350341797,48713900,AAPL
2025-10-02,256.09186667190835,257.68882891050583,253.66649683440303,256.6408386230469,42630200,AAPL
2025-10-03,254.18552630266564,258.7468246365968,253.46689477740222,257.5291442871094,49155600,AAPL
2025-10-06,257.49917477533796,258.57713717661323,254.56478079871025,256.20166015625,44664100,AAPL
2025-10-07,256.32145476920215,256.9103287268919,254.94407514023973,255.99209594726562,31955800,AAPL
2025-10-08,256.03201279963565,258.0282082133661,255.62278908467795,257.569091796875,36496900,AAPL
2025-10-09,257.3195337882977,257.50917476461467,252.65841993311406,253.55670166015625,38322000,AAPL
2025-10-10,254.45500785015722,255.8922708493858,243.53581752909898,244.80340576171875,61999100,AAPL
2025-10-13,248.90558714178317,249.2149949644775,245.09284695690994,247.18885803222656,38142900,AAPL
2025-10-14,246.13087266264282,248.37659224814226,244.23447809703134,247.29864501953125,35478000,AAPL
2025-10-15,249.01538540478128,251.3409547309234,246.99922390992754,248.86566162109375,33893600,AAPL
2025-10-16,247.77774448085987,248.56623493239263,244.66368465033412,246.97926330566406,39777000,AAPL
